"lm","en","ap"
"18","209.78","272.23"
"23","234.95","304.90"
"28","263.14","341.49"
"33","302.61","392.71"
"38","348.00","451.62"
"43","414.12","537.43"
"48","517.65","671.79"
"53","647.06","839.74"
"58","1100.00","1427.56"
"inf","1232.00","1598.87"
