"lm","en","ap"
"18","157.14","203.80"
"23","176.00","228.26"
"28","197.12","255.65"
"33","226.69","294.00"
"38","260.69","338.10"
"43","310.22","402.34"
"48","387.78","502.93"
"53","484.73","628.66"
"58","824.04","1068.72"
"inf","922.92","1196.97"
