"lm","en","ap"
"18","220.60","330.09"
"23","247.07","369.70"
"28","276.72","414.06"
"33","318.23","476.17"
"38","365.96","547.60"
"43","435.49","651.64"
"48","544.36","814.55"
"53","680.45","1018.19"
"58","1156.77","1730.92"
"inf","1295.58","1938.63"
