"lm","en","ap"
"18","165.21","247.09"
"23","185.04","276.74"
"28","207.24","309.95"
"33","238.33","356.44"
"38","274.08","409.91"
"43","326.16","487.79"
"48","407.70","609.74"
"53","509.63","762.18"
"58","866.37","1295.71"
"inf","970.33","1451.20"
