"lm","am","en","ap"
"18","163.93","270.09","393.36"
"23","215.68","348.97","511.69"
"28","245.78","397.78","584.91"
"33","274.10","442.68","652.27"
"38","288.43","463.63","683.70"
"43","323.74","520.84","769.51"
"48","395.75","630.24","933.61"
"53","548.65","860.77","1279.42"
"58","739.38","1153.78","1718.96"
"inf","960.08","1492.84","2227.57"
