"lm","am","en","ap"
"18","129.83","217.10","313.37"
"23","171.77","286.57","413.65"
"28","196.16","329.56","475.70"
"33","219.11","369.11","532.78"
"38","230.72","387.57","559.42"
"43","259.33","437.95","632.14"
"48","317.68","534.30","771.21"
"53","441.58","737.33","1064.27"
"58","596.13","995.40","1436.76"
"inf","774.97","1294.02","1867.79"
