"lm","am","en","ap"
"18","164.93","271.09","394.36"
"23","218.20","357.84","520.56"
"28","249.18","411.52","598.64"
"33","278.33","460.90","670.48"
"38","293.08","483.95","704.00"
"43","329.42","546.86","795.52"
"48","403.54","667.17","970.53"
"53","560.92","920.69","1339.33"
"58","757.24","1242.93","1808.10"
"inf","984.41","1615.81","2350.53"
