"lm","am","en","ap"
"18","128.83","216.10","312.37"
"23","169.24","277.70","404.78"
"28","192.75","315.82","461.96"
"33","214.87","350.89","514.56"
"38","226.06","367.26","539.11"
"43","253.63","411.94","606.13"
"48","309.86","497.38","734.29"
"53","429.26","677.42","1004.36"
"58","578.20","906.26","1347.63"
"inf","750.55","1171.06","1744.84"
