"lm","en","ap"
"18","213.50","271.25"
"23","281.82","358.05"
"28","324.10","411.76"
"33","362.98","461.17"
"38","381.13","484.23"
"43","430.67","547.18"
"48","525.42","667.55"
"53","725.08","921.22"
"58","978.87","1243.64"
"inf","1272.53","1616.74"
