"lm","en","ap"
"18","283.40","415.02"
"23","367.63","541.38"
"28","419.75","619.56"
"33","467.70","691.50"
"38","490.08","725.06"
"43","551.17","816.69"
"48","667.99","991.94"
"53","914.17","1361.21"
"58","1227.08","1830.58"
"inf","1589.16","2373.71"
