"lm","en","ap"
"18","164.19","207.13"
"23","216.74","273.41"
"28","249.24","314.42"
"33","279.15","352.14"
"38","293.11","369.75"
"43","331.21","417.82"
"48","404.08","509.73"
"53","557.63","703.43"
"58","752.80","949.63"
"inf","978.64","1234.52"
