"lm","en","ap"
"18","163.31","206.25"
"23","209.12","265.80"
"28","237.47","302.64"
"33","263.54","336.54"
"38","275.71","352.36"
"43","308.93","395.55"
"48","372.47","478.14"
"53","506.35","652.18"
"58","676.53","873.38"
"inf","873.44","1129.35"
