"lm","am","en","ap"
"18","165.71","260.47","378.40"
"23","219.23","343.82","499.49"
"28","250.36","395.39","574.41"
"33","279.65","442.84","643.34"
"38","294.47","464.98","675.51"
"43","330.98","525.43","763.33"
"48","405.45","641.02","931.26"
"53","563.58","884.61","1285.14"
"58","760.83","1194.22","1734.94"
"inf","989.08","1552.49","2255.42"
