"lm","am","en","ap"
"18","164.71","259.47","377.40"
"23","216.71","334.95","490.62"
"28","246.96","381.65","560.67"
"33","275.42","424.62","625.12"
"38","289.82","444.67","655.20"
"43","325.30","499.41","737.31"
"48","397.66","604.09","894.33"
"53","551.30","824.68","1225.21"
"58","742.96","1105.06","1645.78"
"inf","964.74","1429.50","2132.44"
