"lm","am","en","ap"
"18","210.82","341.68","500.22"
"23","278.91","451.02","660.29"
"28","318.52","518.67","759.33"
"33","355.79","580.91","850.45"
"38","374.65","609.96","892.97"
"43","421.11","689.25","1009.06"
"48","515.86","840.89","1231.05"
"53","717.05","1160.43","1698.85"
"58","968.02","1566.58","2293.45"
"inf","1258.43","2036.35","2981.49"
