"lm","am","en","ap"
"18","209.82","340.68","499.22"
"23","276.39","442.15","651.42"
"28","315.11","504.93","745.59"
"33","351.54","562.69","832.23"
"38","369.97","589.65","872.66"
"43","415.39","663.24","983.04"
"48","508.02","803.96","1194.12"
"53","704.70","1100.50","1638.92"
"58","950.05","1477.42","2204.29"
"inf","1233.95","1913.57","2858.50"
