"lm","en","ap"
"18","215.98","313.88"
"23","278.64","407.87"
"28","317.42","466.03"
"33","353.09","519.53"
"38","369.74","544.50"
"43","415.18","612.66"
"48","502.09","743.02"
"53","685.23","1017.71"
"58","918.01","1366.86"
"inf","1187.37","1770.88"
