"lm","en","ap"
"18","283.40","247.09"
"23","367.63","276.74"
"28","419.75","309.95"
"33","467.70","356.44"
"38","490.08","409.91"
"43","551.17","487.79"
"48","667.99","609.74"
"53","914.17","762.18"
"58","1227.08","1295.71"
"inf","1589.16","1451.20"
