"lm","en","ap"
"18","284.28","415.90"
"23","375.24","548.99"
"28","431.53","631.34"
"33","483.30","707.10"
"38","507.47","742.46"
"43","573.44","838.97"
"48","699.60","1023.55"
"53","965.45","1412.50"
"58","1303.36","1906.87"
"inf","1694.37","2478.93"
