"lm","am","en","ap"
"18","150.18","167.89","251.25"
"23","168.20","188.04","281.40"
"28","188.38","210.60","315.17"
"33","216.64","242.19","362.45"
"38","249.14","278.52","416.82"
"43","296.48","331.44","496.02"
"48","370.60","414.30","620.03"
"53","463.25","517.88","775.04"
"58","787.53","880.40","1317.57"
"inf","882.03","986.05","1475.68"
