"lm","am","en","ap"
"18","118.45","146.02","218.42"
"23","132.66","163.54","244.63"
"28","148.58","183.16","273.99"
"33","170.87","210.63","315.09"
"38","196.50","242.22","362.35"
"43","233.84","288.24","431.20"
"48","292.30","360.30","539.00"
"53","365.38","450.38","673.75"
"58","621.15","765.65","1145.38"
"inf","695.69","857.53","1282.83"
