"lm","am","en","ap"
"18","155.39","256.42","325.99"
"23","205.58","338.47","430.31"
"28","234.77","389.24","494.86"
"33","262.24","435.95","554.24"
"38","276.14","457.75","581.95"
"43","310.38","517.26","657.60"
"48","380.22","631.06","802.27"
"53","528.51","870.86","1107.13"
"58","713.49","1175.66","1494.63"
"inf","927.54","1528.36","1943.02"
