"lm","am","en","ap"
"18","154.39","255.42","324.99"
"23","203.06","329.61","421.44"
"28","231.37","375.51","481.12"
"33","258.01","417.74","536.02"
"38","271.49","437.45","561.64"
"43","304.69","491.25","631.59"
"48","372.41","594.14","765.35"
"53","516.20","810.95","1047.22"
"58","695.57","1086.53","1405.49"
"inf","903.13","1405.41","1820.06"
