"lm","am","en","ap"
"18","121.41","196.03","247.75"
"23","159.43","251.21","319.48"
"28","181.54","285.35","363.86"
"33","202.35","316.76","404.69"
"38","212.88","331.42","423.75"
"43","238.82","371.44","475.77"
"48","291.72","447.97","575.25"
"53","404.04","609.23","784.88"
"58","544.16","814.20","1051.33"
"inf","706.30","1051.38","1359.65"
